Country Name,country
Arab World,N
Qatar,Y
Caribbean small states,N
"Macao SAR, China",Y
Central Europe and the Baltics,N
Luxembourg,Y
Early-demographic dividend,N
Singapore,Y
East Asia & Pacific,N
Ireland,Y
East Asia & Pacific (excluding high income),N
Brunei Darussalam,Y
East Asia & Pacific (IDA & IBRD),N
United Arab Emirates,Y
Euro area,N
Kuwait,Y
Europe & Central Asia,N
Switzerland,Y
Europe & Central Asia (excluding high income),N
Norway,Y
Europe & Central Asia (IDA & IBRD),N
"Hong Kong SAR, China",Y
European Union,N
United States,Y
Fragile and conflict affected situations,N
North America,Y
Heavily indebted poor countries (HIPC),N
Iceland,Y
High income,N
Netherlands,Y
IBRD only,N
Denmark,Y
IDA & IBRD total,N
Austria,Y
IDA blend,N
Saudi Arabia,Y
IDA only,N
Sweden,Y
IDA total,N
Germany,Y
Late-demographic dividend,N
Australia,Y
Latin America & Caribbean,N
Belgium,Y
Latin America & Caribbean (excluding high income),N
Latin America & Caribbean (IDA & IBRD),N
Post-demographic dividend,N
Least developed countries: UN classification,N
Finland,Y
Low & middle income,N
Canada,Y
Low income,N
Bahrain,Y
Lower middle income,N
Middle East & North Africa,N
United Kingdom,Y
Middle East & North Africa (excluding high income),N
OECD members,N
Middle East & North Africa (IDA & IBRD),N
France,Y
Middle income,N
Japan,Y
Malta,Y
Other small states,N
Oman,Y
Pacific island small states,N
Italy,Y
New Zealand,Y
Pre-demographic dividend,N
"Korea, Rep.",Y
Small states,N
Israel,Y
South Asia,N
Czech Republic,Y
South Asia (IDA & IBRD),N
Spain,Y
Sub-Saharan Africa,N
Puerto Rico,Y
Sub-Saharan Africa (excluding high income),N
Slovenia,Y
Sub-Saharan Africa (IDA & IBRD),N
Estonia,Y
Upper middle income,N
Lithuania,Y
World,N
Afghanistan,Y
Slovak Republic,Y
Albania,Y
Portugal,Y
Algeria,Y
"Bahamas, The",Y
American Samoa,Y
Trinidad and Tobago,Y
Andorra,Y
Malaysia,Y
Angola,Y
Poland,Y
Antigua and Barbuda,Y
Argentina,Y
Hungary,Y
Armenia,Y
Seychelles,Y
Aruba,Y
Latvia,Y
St. Kitts and Nevis,Y
Greece,Y
Azerbaijan,Y
Romania,Y
Turkey,Y
Kazakhstan,Y
Bangladesh,Y
Curacao,Y
Barbados,Y
Croatia,Y
Belarus,Y
Russian Federation,Y
Belize,Y
Benin,Y
Panama,Y
Bermuda,Y
Turks and Caicos Islands,Y
Bhutan,Y
Chile,Y
Bolivia,Y
Bosnia and Herzegovina,Y
Mauritius,Y
Botswana,Y
Uruguay,Y
Brazil,Y
British Virgin Islands,Y
Equatorial Guinea,Y
Bulgaria,Y
Burkina Faso,Y
Libya,Y
Burundi,Y
Cabo Verde,Y
Montenegro,Y
Cambodia,Y
Cameroon,Y
Mexico,Y
Cayman Islands,Y
Central African Republic,Y
Turkmenistan,Y
Chad,Y
Channel Islands,Y
Thailand,Y
China,Y
Colombia,Y
Comoros,Y
Palau,Y
"Congo, Dem. Rep.",Y
"Congo, Rep.",Y
Costa Rica,Y
Cote d'Ivoire,Y
Gabon,Y
Dominican Republic,Y
Cuba,Y
Cyprus,Y
Iraq,Y
Serbia,Y
Nauru,Y
Djibouti,Y
North Macedonia,Y
Dominica,Y
Ecuador,Y
"Egypt, Arab Rep.",Y
El Salvador,Y
Eritrea,Y
Grenada,Y
Eswatini,Y
Suriname,Y
Ethiopia,Y
Faroe Islands,Y
Maldives,Y
Fiji,Y
French Polynesia,Y
Peru,Y
St. Lucia,Y
"Gambia, The",Y
Mongolia,Y
Georgia,Y
South Africa,Y
Paraguay,Y
Ghana,Y
Sri Lanka,Y
Gibraltar,Y
Lebanon,Y
Greenland,Y
Indonesia,Y
Guam,Y
Tunisia,Y
Guatemala,Y
Guinea,Y
St. Vincent and the Grenadines,Y
Guinea-Bissau,Y
Guyana,Y
Haiti,Y
Honduras,Y
Kosovo,Y
Namibia,Y
India,Y
"Iran, Islamic Rep.",Y
Isle of Man,Y
Jordan,Y
Jamaica,Y
Ukraine,Y
Philippines,Y
Morocco,Y
Kenya,Y
Uzbekistan,Y
Kiribati,Y
"Korea, Dem. People's Rep.",Y
Timor-Leste,Y
Kyrgyz Republic,Y
Lao PDR,Y
Vietnam,Y
Lesotho,Y
Moldova,Y
Liberia,Y
Liechtenstein,Y
Myanmar,Y
Samoa,Y
Tonga,Y
Madagascar,Y
Malawi,Y
Nigeria,Y
Mali,Y
Pakistan,Y
Nicaragua,Y
Marshall Islands,Y
West Bank and Gaza,Y
Mauritania,Y
Sudan,Y
"Micronesia, Fed. Sts.",Y
Monaco,Y
Papua New Guinea,Y
Zambia,Y
Mozambique,Y
Tuvalu,Y
Nepal,Y
New Caledonia,Y
Niger,Y
Senegal,Y
Northern Mariana Islands,Y
Tajikistan,Y
Sao Tome and Principe,Y
Tanzania,Y
Vanuatu,Y
Zimbabwe,Y
"Yemen, Rep.",Y
Rwanda,Y
Solomon Islands,Y
San Marino,Y
Uganda,Y
Sierra Leone,Y
Sint Maarten (Dutch part),Y
Togo,Y
Somalia,Y
South Sudan,Y
St. Martin (French part),Y
Syrian Arab Republic,Y
"Venezuela, RB",Y
Virgin Islands (U.S.),Y
